Champions	Cost	Set	Star	HP	DPS	AD	AS	AR	MR	SMP	MP	Range
Alistar	1💰	14	⭐	650	27.5	50	0.55	40	40	40	80	1
Alistar	1💰	14	⭐⭐	1170	49.5	90	0.55	40	40	40	80	1
Alistar	1💰	14	⭐⭐⭐	2106	89.1	162	0.55	40	40	40	80	1
Alistar	1💰	14	⭐⭐⭐⭐	3790.8	160.38	291.6	0.55	40	40	40	80	1
Annie	4💰	14	⭐	850	22.5	30	0.75	30	30	0	40	4
Annie	4💰	14	⭐⭐	1530	40.5	54	0.75	30	30	0	40	4
Annie	4💰	14	⭐⭐⭐	2754	72.9	97.2	0.75	30	30	0	40	4
Aphelios	4💰	14	⭐	800	47.25	63	0.75	30	30	0	50	4
Aphelios	4💰	14	⭐⭐	1440	85.05	113.4	0.75	30	30	0	50	4
Aphelios	4💰	14	⭐⭐⭐	2592	153.09	204.12	0.75	30	30	0	50	4
Aurora	5💰	14	⭐	800	40	50	0.8	40	40	20	80	4
Aurora	5💰	14	⭐⭐	1440	72	90	0.8	40	40	20	80	4
Aurora	5💰	14	⭐⭐⭐	2592	129.6	162	0.8	40	40	20	80	4
Brand	4💰	14	⭐	800	26.25	35	0.75	30	30	25	70	4
Brand	4💰	14	⭐⭐	1440	47.25	63	0.75	30	30	25	70	4
Brand	4💰	14	⭐⭐⭐	2592	85.05	113.4	0.75	30	30	25	70	4
Braum	3💰	14	⭐	850	36	60	0.6	50	50	30	100	1
Braum	3💰	14	⭐⭐	1530	64.8	108	0.6	50	50	30	100	1
Braum	3💰	14	⭐⭐⭐	2754	116.64	194.4	0.6	50	50	30	100	1
Cho'Gath	4💰	14	⭐	1000	39	65	0.6	50	50	60	100	1
Cho'Gath	4💰	14	⭐⭐	1800	70.2	117	0.6	50	50	60	100	1
Cho'Gath	4💰	14	⭐⭐⭐	3240	126.36	210.6	0.6	50	50	60	100	1
Darius	2💰	14	⭐	750	42.25	65	0.65	45	45	30	80	1
Darius	2💰	14	⭐⭐	1350	76.05	117	0.65	45	45	30	80	1
Darius	2💰	14	⭐⭐⭐	2430	136.89	210.6	0.65	45	45	30	80	1
Darius	2💰	14	⭐⭐⭐⭐	4374	246.402	379.08	0.65	45	45	30	80	1
Dr. Mundo	1💰	14	⭐	650	30	50	0.6	35	35	25	75	1
Dr. Mundo	1💰	14	⭐⭐	1170	54	90	0.6	35	35	25	75	1
Dr. Mundo	1💰	14	⭐⭐⭐	2106	97.2	162	0.6	35	35	25	75	1
Dr. Mundo	1💰	14	⭐⭐⭐⭐	3790.8	174.96	291.6	0.6	35	35	25	75	1
Draven	3💰	14	⭐	700	39.75	53	0.75	25	25	30	120	4
Draven	3💰	14	⭐⭐	1260	71.55	95.4	0.75	25	25	30	120	4
Draven	3💰	14	⭐⭐⭐	2268	128.79	171.72	0.75	25	25	30	120	4
Ekko	2💰	14	⭐	800	31.5	45	0.7	45	45	30	80	1
Ekko	2💰	14	⭐⭐	1440	56.7	81	0.7	45	45	30	80	1
Ekko	2💰	14	⭐⭐⭐	2592	102.06	145.8	0.7	45	45	30	80	1
Ekko	2💰	14	⭐⭐⭐⭐	4665.6	183.708	262.44	0.7	45	45	30	80	1
Elise	3💰	14	⭐	700	30	40	0.75	25	25	0	55	4
Elise	3💰	14	⭐⭐	1260	54	72	0.75	25	25	0	55	4
Elise	3💰	14	⭐⭐⭐	2268	97.2	129.6	0.75	25	25	0	55	4
Fiddlesticks	3💰	14	⭐	800	28	40	0.7	50	50	0	45	2
Fiddlesticks	3💰	14	⭐⭐	1440	50.4	72	0.7	50	50	0	45	2
Fiddlesticks	3💰	14	⭐⭐⭐	2592	90.72	129.6	0.7	50	50	0	45	2
Galio	3💰	14	⭐	900	36	60	0.6	50	50	20	80	1
Galio	3💰	14	⭐⭐	1620	64.8	108	0.6	50	50	20	80	1
Galio	3💰	14	⭐⭐⭐	2916	116.64	194.4	0.6	50	50	20	80	1
Garen	5💰	14	⭐	1100	68	80	0.85	60	60	30	100	1
Garen	5💰	14	⭐⭐	1980	122.4	144	0.85	60	60	30	100	1
Garen	5💰	14	⭐⭐⭐	3564	220.32	259.2	0.85	60	60	30	100	1
